Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES TREATED MALE ,TOTAL CASES TREATED FEMALE,TOTAL CASES TREATED ,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Acholi,Gulu City,99,108,207,16843,11953,28796,27510,15204,42714,9874,8942,18816,12484,11929,24413,50,50,100,13796,9436,23232,20427,11011,31438,9624,9234,18858,7867,7084,14951,88579,50,50,100,13350,9105,22455,19630,10491,30121,9137,8747,17884,7511,6810,14321,952,1955,2907,35203,49678,84881,66810,48136,114946,12583,12037,24620,222,212630.0181,957.7928744,2.7743,32.2882,2020,416.587464,957.7928743
Acholi,Gulu District,13,12,25,30268,15253,45521,26128,10033,36161,14354,10927,25281,14971,13530,28501,10,7,17,29371,14673,44044,24778,9457,34235,14580,13074,27654,14046,10672,24718,130668,9,5,14,28859,14364,43223,24517,9284,33801,14639,13323,27962,13791,10568,24359,1183,2039,3222,47544,81815,129359,85734,49755,135489,14984,13542,28526,1721,123872.7591,71.97719876,2.955,32.4467,2020,1054.85662,71.97719878
Bunyoro,Hoima City,1,1,2,2689,2098,4787,6020,4497,10517,1524,1342,2866,2314,2050,4364,1,1,2,2359,1863,4222,5100,3646,8746,2081,1811,3892,1363,1199,2562,19424,1,0,1,2624,2026,4650,5781,5981,11762,2271,2003,4274,1494,1311,2805,161,282,443,11321,12171,23492,12548,9988,22536,2315,2051,4366,227,124144.3284,546.8913144,1.4274,31.3484,2020,156.4630479,546.8913145
Bunyoro,Hoima District,2,1,3,7069,4392,11461,7814,3916,11730,4507,3607,8114,5648,5214,10862,2,1,3,6892,4296,11188,7508,3655,11163,5476,5021,10497,4426,3548,7974,40825,2,1,3,6825,4274,11099,7515,3656,11171,5434,5016,10450,117379,3520,120899,515,1286,1801,16467,137155,153622,25040,17130,42170,5650,5215,10865,1341,235276.2555,175.4483636,1.6343,31.171,2020,173.5194226,175.4483635
Ankole,Ibanda District,17,17,34,20398,16228,36626,34625,22678,57303,9881,8214,18095,8104,6703,14807,8,15,23,19707,15557,35264,32750,21223,53973,7525,6394,13919,9404,7753,17157,120336,11,9,20,19453,15345,34798,32405,20880,53285,7446,6297,13743,9283,7631,16914,414,773,1187,50162,68598,118760,73025,53840,126865,8121,6720,14841,622,283976.8883,456.5544828,0.0966,30.4818,2020,423.7527945,456.5544828
Busoga,Iganga District,38,28,66,32022,18354,50376,52871,25050,77921,21090,16244,37334,29955,26648,56603,35,23,58,31019,17591,48610,51023,23951,74974,29103,25811,54914,20304,15463,35767,214323,20,13,33,29506,16789,46295,48011,22468,70479,27773,24634,52407,19408,14824,34232,1979,4322,6301,78728,124718,203446,135976,86324,222300,29993,26676,56669,633,389466.6445,615.2711604,0.7236,33.4832,2020,550.2987304,615.2711603
Ankole,Isingiro District,71,57,128,34111,27631,61742,49805,33824,83629,18921,16470,35391,20879,19005,39884,80,55,135,33697,27397,61094,48593,32853,81446,20703,18726,39429,18801,16354,35155,217259,59,39,98,31627,25892,57519,46181,30102,76283,19640,17788,37428,17769,15450,33219,421,1695,2116,89271,115276,204547,123787,96987,220774,20950,19062,40012,2536,570793.4366,225.0762763,0.8435,30.8039,2020,380.6263108,225.0762763
Busoga,Jinja City,340,346,686,12884,8865,21749,27314,16313,43627,7954,6561,14515,11954,10767,22721,197,204,401,11430,7645,19075,23192,12947,36139,10320,10436,20756,7022,5608,12630,89001,164,168,332,10924,7290,18214,22513,12667,35180,9781,8806,18587,6815,5531,12346,496,1452,1948,34462,50197,84659,60446,42852,103298,12294,11113,23407,179,265867.4277,1485.292892,0.5349,33.2139,2020,334.7570658,1485.292892
Busoga,Jinja District,81,65,146,21401,12114,33515,38579,18762,57341,14175,10140,24315,22527,18560,41087,72,56,128,20220,11431,31651,35705,17322,53027,21447,17568,39015,13473,9665,23138,146959,72,56,128,20072,11373,31445,35471,17225,52696,21722,17443,39165,13391,9603,22994,907,2155,3062,55700,90728,146428,96763,59641,156404,22608,18625,41233,499,256664.1006,514.3569151,0.5349,33.2139,2020,572.5732569,514.356915
Karamoja,Kaabong District,24,19,43,11411,8101,19512,21115,11821,32936,5983,5119,11102,15451,14652,30103,14,12,26,10820,7673,18493,19082,10536,29618,14708,14001,28709,5782,4829,10611,87457,14,12,26,10615,7531,18146,18637,10520,29157,14375,13668,28043,5654,4726,10380,275,1410,1685,36457,49295,85752,53984,39712,93696,15475,14671,30146,4751,190691.9549,40.13722478,3.5696,34.242,2020,458.6297311,40.13722477
Kigezi,Kabale District,20,12,32,462,496,958,1632,2363,3995,172,149,321,212,231,443,1,3,4,298,373,671,1137,1915,3052,120,146,266,100,89,189,4182,1,1,2,285,350,635,1078,1802,2880,116,139,255,96,86,182,6,24,30,2378,1576,3954,2498,3251,5749,232,243,475,561,262176.9302,467.3385565,1.3505,30.0203,2020,15.95106021,467.3385565
Tooro,Kabarole District,5,6,11,2880,2283,5163,5522,3772,9294,1703,1379,3082,1560,1341,2901,2,1,3,2773,2239,5012,5067,3489,8556,1487,1270,2757,1636,1346,2982,19310,2,1,3,2761,2208,4969,4960,3457,8417,1469,1254,2723,1627,1323,2950,32,135,167,8243,10819,19062,11670,8781,20451,1565,1347,2912,1184,216280.968,182.6697365,0.6833,0,2020,89.28201209,182.6697365
Teso,Kaberamaido District,17,13,30,7809,4730,12539,8009,3241,11250,4075,3180,7255,3706,3242,6948,17,13,30,7484,4601,12085,7620,3059,10679,3580,3113,6693,3954,3106,7060,36547,17,13,30,7403,4556,11959,7568,3028,10596,3560,3099,6659,3961,3098,7059,314,542,856,13794,22509,36303,23616,14406,38022,3723,3255,6978,689,125381.2538,181.9756949,1.6325,0,2020,291.4869559,181.9756949
Bunyoro,Kagadi District,7,7,14,11466,7628,19094,18912,10501,29413,6188,4697,10885,6654,5787,12441,5,6,11,10358,6922,17280,16506,9284,25790,5830,5117,10947,5588,4291,9879,63907,6,6,12,10741,7150,17891,17220,9548,26768,6006,5265,11271,5740,4426,10166,883,1660,2543,26395,39713,66108,43227,28620,71847,6661,5794,12455,1420,418806.2219,294.9339591,0.95,30.8,2020,152.593244,294.9339591
Bunyoro,Kakumiro District,10,9,19,10767,6852,17619,13591,6496,20087,5509,4631,10140,6382,5537,11919,10,9,19,10185,6515,16700,12300,5949,18249,6068,5212,11280,5300,4444,9744,55992,10,9,19,10473,6703,17176,12860,6134,18994,6194,5353,11547,5456,4585,10041,578,1487,2065,22784,34993,57777,36259,23525,59784,6392,5546,11938,1701,367946.3179,216.3117683,1.0028,31.3084,2020,152.1743724,216.3117683
Teso,Kalaki District,6,5,11,5715,2650,8365,5622,2475,8097,3237,2697,5934,2632,2457,5089,6,5,11,5705,2650,8355,5622,2485,8107,2632,2457,5089,3237,2697,5934,27496,5,5,10,5558,2573,8131,5405,2392,7797,2524,2350,4874,3129,2628,5757,318,518,836,9948,16621,26569,17212,10284,27496,2638,2462,5100,658,132298.1315,201.0609902,0,0,2020,207.8336231,201.0609901
South Central,Kalangala District,8,9,17,1758,1681,3439,4628,4646,9274,1103,1022,2125,1454,1385,2839,8,9,17,1698,1656,3354,4442,4462,8904,1337,1273,2610,1052,999,2051,16936,8,9,17,1650,1613,3263,4246,4295,8541,1301,1230,2531,1030,968,1998,309,343,652,8115,8235,16350,8951,8743,17694,1462,1394,2856,452,65596.37205,145.1247169,0.6351,32.5373,2020,258.1850104,145.1247169
Busoga,Kaliro District,123,81,204,13510,6919,20429,26248,13948,40196,9909,6983,16892,18873,17085,35958,113,67,180,13411,6817,20228,25994,13751,39745,18638,16875,35513,9797,6909,16706,112372,110,65,175,13285,6783,20068,25824,13686,39510,18593,16789,35382,9676,6840,16516,2701,3935,6636,44163,67488,111651,68663,45016,113679,18996,17166,36162,779,255125.7054,327.5041148,0.8927,33.5028,2020,440.4573809,327.5041148
South Central,Kalungu District,20,8,28,6863,6113,12976,7872,4984,12856,3823,3828,7651,3234,3369,6603,14,8,22,6758,6007,12765,7660,4813,12473,3155,3278,6433,3779,3753,7532,39225,15,8,23,6385,5660,12045,7360,4622,11982,3040,3068,6108,3573,3525,7098,200,670,870,16883,20373,37256,21812,18302,40114,3254,3377,6631,790,201322.4065,254.8384892,0.0953,31.7651,2020,194.8367332,254.8384892
Kampala,Kampala,515,517,1032,23437,20420,43857,59809,51325,111134,17347,16115,33462,28036,18860,46896,218,210,428,15541,13792,29333,35843,33120,68963,12834,11998,24832,10997,10144,21141,144697,234,227,461,15065,13681,28746,35732,33809,69541,12835,12017,24852,10845,9949,20794,1220,3966,5186,69683,74711,144394,129144,107237,236381,28551,19377,47928,195,1675282.464,8591.192123,0.3152,32.5816,2020,86.37170335,8591.192123
Kampala,Kampala District,515,517,1032,23437,20420,43857,59809,51325,111134,17347,16115,33462,28036,18860,46896,218,210,428,15541,13792,29333,35843,33120,68963,12834,11998,24832,10997,10144,21141,144697,234,227,461,15065,13681,28746,35732,33809,69541,12835,12017,24852,10845,9949,20794,1220,3966,5186,69683,74711,144394,129144,107237,236381,28551,19377,47928,195,1675282.464,8591.192123,0.3152,32.5816,2020,86.37170335,8591.192123
Busoga,Kamuli District,44,33,77,47740,25528,73268,87075,40753,127828,29868,21268,51136,48360,40111,88471,24,17,41,47026,24921,71947,85083,39417,124500,47597,39469,87066,29249,20762,50011,333565,24,17,41,45761,24257,70018,82330,38405,120735,46313,38479,84792,28336,20166,48502,4216,7887,12103,121324,202764,324088,213087,127693,340780,48404,40144,88548,1515,517995.9032,341.9114872,0.9187,33.1239,2020,643.9529694,341.9114873
Tooro,Kamwenge District,55,54,109,26475,18634,45109,35180,18654,53834,15983,12418,28401,19367,17437,36804,57,52,109,25241,17750,42991,33679,17718,51397,18497,16554,35051,15329,12248,27577,157125,57,104,161,24717,16306,41023,32482,17171,49653,17785,16048,33833,14922,11545,26467,1094,5325,6419,61174,89963,151137,97060,67197,164257,19422,17491,36913,1695,308803.2075,182.1847832,0.2903,30.574,2020,508.8191968,182.1847832
Kigezi,Kanungu District,9,10,19,12287,9808,22095,16454,10516,26970,6035,4945,10980,5106,4424,9530,7,10,17,12004,9582,21586,16017,10170,26187,4935,4289,9224,5850,4806,10656,67670,7,10,17,11890,9467,21357,15870,10059,25929,4884,4231,9115,5813,4755,10568,161,449,610,28522,38464,66986,39891,29703,69594,5115,4434,9549,1275,285449.0367,223.8815974,0.8195,0,2020,237.0650845,223.8815974
Bugisu,Kapchorwa District,20,15,35,1033,875,1908,2527,1923,4450,525,446,971,425,406,831,9,6,15,891,768,1659,2091,1605,3696,327,331,658,466,372,838,6866,9,6,15,868,758,1626,2046,1580,3626,321,327,648,459,368,827,13,47,60,3039,3703,6742,4530,3665,8195,445,421,866,212,121424.9705,572.7592948,1.3514,34.3754,2020,56.54520624,572.7592948
Teso,Kapelebyong District,31,20,51,15259,7072,22331,14844,5052,19896,7750,5446,13196,7228,7059,14287,30,19,49,15120,7050,22170,14650,5020,19670,7112,6592,13704,7750,5443,13193,68786,30,19,49,14809,6908,21717,14359,4922,19281,7025,6482,13507,7618,5366,12984,495,1086,1581,23697,43841,67538,45112,24649,69761,7259,7079,14338,1203,117798.1527,97.92032643,2.211,33.7518,2020,583.9310585,97.92032643
Karamoja,Karamoja,339,308,647,69973,43177,113150,103226,50912,154138,48178,38649,86827,125908,117173,243081,195,162,357,65071,39901,104972,90335,44995,135330,117926,109507,227433,45369,36241,81610,549702,347,206,553,64895,39693,104588,91191,45504,136695,117462,109011,226473,44906,35952,80858,2794,7355,10149,230366,318801,549167,347624,250219,597843,126247,117481,243728,27407,1255428.722,45.806864,2.8309,34.1532,2020,437.8599839,45.80686401
Karamoja,Karenga District,1,1,2,5208,3032,8240,7388,3079,10467,2470,1839,4309,4977,5003,9980,1,1,2,4442,2547,6989,6037,2680,8717,4443,4310,8753,2188,1665,3853,28314,1,1,2,5006,2894,7900,7083,2991,10074,4764,4776,9540,2340,1733,4073,205,729,934,12395,19194,31589,20044,12954,32998,4978,5004,9982,25702,76699.97985,2.98420278,3.5691,33.6931,2020,369.1526394,2.98420278
Tooro,Kasese District,80,60,140,32148,27492,59640,53391,35425,88816,15871,13696,29567,14750,13646,28396,43,31,74,28945,24803,53748,45526,30721,76247,12131,11550,23681,13983,12193,26176,179926,43,31,74,28826,25785,54611,45620,30754,76374,11925,11451,23376,13892,12214,26106,577,1468,2045,80235,100306,180541,116240,90319,206559,14830,13706,28536,2795,786346.2565,281.3403422,0.1699,0,2020,228.8126872,281.3403422
North Central,Kassanda District,16,10,26,10823,8164,18987,17409,10518,27927,7306,6363,13669,7600,7104,14704,14,4,18,10506,8052,18558,17242,10049,27291,7441,6940,14381,7218,6231,13449,73697,30,6,36,10104,7734,17838,15913,9572,25485,7151,6649,13800,6898,5962,12860,741,1551,2292,29923,40096,70019,43154,32159,75313,7616,7114,14730,1819,296278.7557,162.8800196,0.5761,31.7195,2020,248.7421004,162.8800196
Teso,Katakwi District,9,5,14,29301,19147,48448,29442,13849,43291,14776,11406,26182,15681,14581,30262,7,5,12,36172,15046,51218,28872,13762,42634,15593,14500,30093,14718,11658,26376,150333,7,5,12,28227,14549,42776,28520,13627,42147,15417,14352,29769,14578,11252,25830,2233,4200,6433,53785,86749,140534,89209,58988,148197,15690,14586,30276,2306,204260.2064,88.57771312,1.9142,33.9583,2020,735.9877024,88.5777131
North Central,Kayunga District,75,64,139,27071,16511,43582,34106,18262,52368,17849,14689,32538,23279,21391,44670,72,60,132,26917,16441,43358,33935,17854,51789,23102,21254,44356,17715,14586,32301,171936,66,50,116,26535,16230,42765,33385,17684,51069,22745,20856,43601,17458,14405,31863,1801,3746,5547,69225,100189,169414,102380,70917,173297,23354,21455,44809,1596,409214.4479,256.40003,0.7014,32.9029,2020,420.1611182,256.40003
Ankole,Kazo District,2,1,3,8566,6756,15322,11623,7364,18987,4323,3798,8121,3054,2561,5615,2,1,3,7943,6396,14339,10106,6620,16726,2851,2375,5226,4090,3612,7702,43996,4,1,5,7617,6036,13653,9746,6234,15980,2767,2288,5055,3932,3452,7384,138,341,479,18011,24066,42077,27568,20480,48048,3056,2562,5618,1558,195525.2574,125.4975978,0.3576,32.5571,2020,225.0144078,125.4975978
Bunyoro,Kibaale District,19,12,31,7363,4818,12181,9728,5882,15610,3992,3171,7163,5092,4823,9915,16,10,26,6929,4554,11483,8970,5294,14264,4748,4524,9272,3723,2975,6698,41743,16,10,26,6783,4433,11216,8720,5225,13945,4690,4457,9147,3668,2920,6588,473,1631,2104,17045,23877,40922,26194,18706,44900,5111,4835,9946,1153,192834.1418,167.2455696,0.8088,31.0335,2020,216.4710025,167.2455696
North Central,Kiboga District,4,6,10,8653,7605,16258,12305,9360,21665,5446,4978,10424,5578,5481,11059,4,6,10,8582,7504,16086,12117,8903,21020,5475,5369,10844,5405,4949,10354,58314,30,6,36,8456,7435,15891,11826,8674,20500,5393,5273,10666,5559,4900,10459,172,529,701,26288,31264,57552,31986,27430,59416,5582,5487,11069,1586,168342.5414,106.1428382,0.8658,31.9473,2020,346.4008534,106.1428382
Bukedi,Kibuku District,2,3,5,2219,1260,3479,3066,1089,4155,1705,1406,3111,2332,2150,4482,2,3,5,2188,1248,3436,2998,1067,4065,2314,2146,4460,1689,1397,3086,15052,2,3,5,2188,1248,3436,2998,1067,4065,2312,2146,4458,1689,1397,3086,121,229,350,5861,9189,15050,9324,5908,15232,2334,2153,4487,484,229271.2657,473.7009621,1.0453,33.7993,2020,65.6514891,473.7009622
Kigezi,Kigezi,46,32,78,22505,19110,41615,35367,27571,62938,10646,9057,19703,10422,9211,19633,19,17,36,21343,18212,39555,32203,25337,57540,9330,8164,17494,10068,8492,18560,133185,19,15,34,20922,17783,38705,53080,24741,77821,9097,7939,17036,9885,8334,18219,324,952,1276,58812,93003,151815,78986,64981,143967,10468,9243,19711,4993,1610102.319,322.4719246,0.2667,31.6167,2020,82.71834555,322.4719245
Bunyoro,Kikuube District,27,29,56,21640,13479,35119,29490,16471,45961,12880,10031,22911,19864,18548,38412,25,28,53,19841,12289,32130,26649,15109,41758,18459,17164,35623,11930,9244,21174,130738,24,26,50,19901,12304,32205,27270,15270,42540,18631,17599,36230,11965,9289,21254,1310,3439,4749,54488,77791,132279,83901,58558,142459,19891,18577,38468,2098,329958.7323,157.2729896,1.2375,30.9876,2020,396.225307,157.2729897
Ankole,Kiruhura District,0,0,0,3402,3158,6560,5863,4681,10544,1677,1612,3289,1572,1550,3122,0,0,0,3400,3155,6555,5863,4676,10539,1572,1549,3121,1676,1612,3288,23503,1,1,2,3400,3154,6554,5853,4667,10520,1571,1547,3118,1676,1612,3288,49,226,275,10981,12501,23482,12514,11001,23515,1572,1550,3122,3003,180616.9259,60.14549647,0.322,30.8039,2020,130.126232,60.14549647
Bunyoro,Kiryandongo District,26,19,45,24250,18814,43064,145500,11664,157164,12379,10244,22623,16794,16040,32834,25,19,44,23580,18192,41772,22412,10973,33385,16433,15695,32128,12114,10052,22166,129495,23,16,39,22863,17114,39977,21632,10712,32344,15787,15026,30813,12006,9619,21625,1524,3148,4672,52487,72311,124798,198949,56781,255730,16820,16059,32879,3582,321636.6907,89.79248763,2.018,32.0837,2020,402.6126488,89.79248763
Kigezi,Kisoro District,1,5,6,1236,1403,2639,3149,3104,6253,694,660,1354,986,951,1937,0,2,2,1058,1248,2306,2381,2563,4944,652,594,1246,583,541,1124,9622,0,2,2,1000,1159,2159,23847,2445,26292,612,553,1165,549,506,1055,8,45,53,4665,26008,30673,6066,6123,12189,987,956,1943,690,364929.2236,528.8829328,1.1539,29.6499,2020,26.36675656,528.8829328
Tooro,Kitagwenda District,9,8,17,8077,5964,14041,10352,5746,16098,3652,3054,6706,4381,3502,7883,7,8,15,7873,5855,13728,10032,5600,15632,4154,3357,7511,3577,2988,6565,43451,7,7,14,7632,5678,13310,9473,5307,14780,3896,3111,7007,3378,2840,6218,336,764,1100,16943,24386,41329,26471,18274,44745,4390,3510,7900,677,167230.318,247.0167178,0,0,2020,259.827288,247.0167179
Acholi,Kitgum District,45,37,82,43752,26231,69983,42231,16154,58385,21341,17099,38440,25976,26443,52419,36,37,73,41818,25077,66895,38520,14457,52977,24575,24843,49418,20470,16281,36751,206114,36,36,72,39903,23980,63883,37998,13903,51901,36660,23815,60475,19592,15539,35131,1017,2040,3057,77273,134189,211462,133345,85964,219309,26021,26480,52501,4391,224721.6078,51.1777745,3.3397,33.1689,2020,917.1970689,51.17777449
West Nile,Koboko District,19,19,38,27367,12712,40079,33204,10261,43465,17381,13005,30386,22578,20911,43489,18,18,36,26461,12286,38747,30921,9237,40158,21590,20145,41735,16650,12504,29154,149830,16,18,34,26115,12186,38301,30854,9289,40143,21514,20046,41560,16817,12443,29260,996,2366,3362,53982,95316,149298,100549,56908,157457,22597,20930,43527,739,243497.9288,329.4965207,3.5237,31.0335,2020,615.3235091,329.4965207
Lango,Kole District,7,7,14,25013,10753,35766,28261,9352,37613,10993,7875,18868,14751,13519,28270,6,7,13,24806,10666,35472,27984,9263,37247,14626,13411,28037,10913,7804,18717,119486,6,7,13,24450,10441,34891,27460,9134,36594,14465,13179,27644,10723,7663,18386,2162,5047,7209,40424,77104,117528,79025,41506,120531,14758,13526,28284,1073,270939.1235,252.5061728,2.3031,0,2020,441.0068153,252.5061729
Karamoja,Kotido District,95,100,195,10108,5805,15913,17619,7828,25447,7716,5713,13429,27245,24519,51764,66,66,132,9606,5549,15155,15482,7024,22506,26164,23499,49663,7553,5519,13072,100528,59,59,118,9286,5368,14654,15128,6926,22054,24998,22341,47339,7200,5438,12638,423,1125,1548,40132,56671,96803,62783,43965,106748,27340,24619,51959,3610,203356.3642,56.33140284,3.0352,0,2020,494.3440074,56.33140283
Teso,Kumi District,37,38,75,27875,14442,42317,44195,19862,64057,15237,11458,26695,18959,17596,36555,26,32,58,27783,14378,42161,44104,19556,63660,18822,17463,36285,15181,11450,26631,168795,26,32,58,27213,14313,41526,43231,18990,62221,18448,17146,35594,14959,11223,26182,1244,2599,3843,61704,103877,165581,106303,63396,169699,18996,17634,36630,1005,266855.2321,265.5275941,1.4877,33.9304,2020,632.5339723,265.5275941
Lango,Kwania District,35,30,65,22108,9718,31826,25261,10544,35805,10679,7720,18399,14525,13431,27956,34,29,63,23740,9588,33328,24391,10174,34565,14307,12344,26651,10454,7595,18049,112656,31,27,58,20469,8896,29365,23554,9625,33179,13175,11459,24634,9841,7108,16949,784,1607,2391,37115,67070,104185,72608,41443,114051,14560,13461,28021,1223,202344.6754,165.4494484,1.9033,32.7633,2020,556.752975,165.4494484
Bugisu,Kween District,3,3,6,1740,1811,3551,3499,2998,6497,701,741,1442,614,601,1215,3,3,6,1655,1754,3409,3276,2869,6145,586,558,1144,687,724,1411,12115,3,3,6,1504,1634,3138,2945,2649,5594,527,498,1025,598,645,1243,46,106,152,5429,5577,11006,6557,6154,12711,617,604,1221,851,113644.2334,133.5419899,1.4126,34.5528,2020,106.6046172,133.5419899
North Central,Kyankwanzi District,14,9,23,6392,4227,10619,10067,5854,15921,4031,3182,7213,4705,4436,9141,12,8,20,5896,4043,9939,8971,5365,14336,4396,4201,8597,3844,3034,6878,39770,13,9,22,5564,3730,9294,8430,5047,13477,4042,3890,7932,3543,2780,6323,901,1247,2148,15456,21592,37048,25209,17708,42917,4719,4445,9164,2455,250933.4988,102.2132378,1.2061,31.8164,2020,158.4882058,102.2132378
Tooro,Kyegegwa District,42,28,70,40279,22717,62996,55701,26831,82532,17791,15061,32852,20253,19070,39323,27,16,43,26669,20492,47161,38466,24197,62663,18255,17157,35412,16374,13730,30104,175383,21,13,34,28908,21440,50348,39804,24493,64297,17319,17498,34817,16518,13793,30311,827,2070,2897,77237,102570,179807,134066,83707,217773,20295,19098,39393,1882,397961.3775,211.4566299,0.4818,31.055,2020,440.7035705,211.4566299
Tooro,Kyenjojo District,64,59,123,13533,9665,23198,19814,12633,32447,7065,5860,12925,8483,7596,16079,56,54,110,13189,9324,22513,18939,11972,30911,8099,7338,15437,6809,5520,12329,81300,48,51,99,13094,9279,22373,18500,11788,30288,8323,7304,15627,6787,5550,12337,469,984,1453,33972,46752,80724,48959,35813,84772,8547,7655,16202,2352,491549.5685,208.9921635,0.6093,30.6401,2020,165.3953237,208.9921635
South Central,Kyotera District,21,13,34,18502,15969,34471,22928,14833,37761,10932,9804,20736,8884,8559,17443,21,13,34,18502,15969,34471,22928,14833,37761,8884,8559,17443,10932,9804,20736,110445,21,13,34,18502,15969,34471,22928,14833,37761,8884,8559,17443,10932,9804,20736,340,1042,1382,49178,61267,110445,61267,49178,110445,8905,8572,17477,1723,260756.3978,151.3385942,0.6359,31.5456,2020,423.5562423,151.3385942
Acholi,Lamwo District,16,20,36,58962,41452,100414,38295,13266,51561,26623,22891,49514,27089,26321,53410,14,20,34,58514,41213,99727,37627,12941,50568,26817,26060,52877,26570,22721,49291,252497,14,20,34,58452,41171,99623,37585,12909,50494,26783,26033,52816,26542,22687,49229,877,2344,3221,102820,149376,252196,150985,103950,254935,27105,26341,53446,5588,177231.4362,31.71643454,3.491,32.808,2020,1424.673892,31.71643454
Lango,Lango,264,241,505,190912,90982,281894,232934,89701,322635,89907,67516,157423,109198,99636,208834,235,212,447,188434,88949,277383,220525,86475,307000,105694,96547,202241,88078,66005,154083,941154,229,208,437,183146,86926,270072,216124,84703,300827,102821,94427,197248,86198,64419,150617,11761,23758,35519,330683,588518,919201,623215,348076,971291,109462,99877,209339,12856,2340005.074,182.0165739,0,0,2020,402.201692,182.0165739
Lango,Lira City,33,33,66,7564,4105,11669,14559,6735,21294,4177,3387,7564,7116,6131,13247,18,23,41,7095,3769,10864,13088,6042,19130,5771,5626,11397,3853,3041,6894,48326,19,25,44,7769,3652,11421,12654,5806,18460,5412,5370,10782,3740,2879,6619,337,1203,1540,17732,29594,47326,33449,20391,53840,7149,6164,13313,285,229314.8477,804.6135008,2.2596,32.8903,2020,210.7408242,804.6135007
Lango,Lira District,22,15,37,14771,6780,21551,21581,7714,29295,7214,5225,12439,9892,8756,18648,23,15,38,13468,6307,19775,18314,6793,25107,9120,8136,17256,6921,4966,11887,74063,20,15,35,12556,6021,18577,17272,6374,23646,8720,7798,16518,6626,4706,11332,354,881,1235,24914,45194,70108,53480,28490,81970,9914,8771,18685,1046,224605.4506,214.7279642,2.2316,32.9438,2020,329.7471179,214.7279642
Busoga,Luuka District,73,45,118,27949,13899,41848,44769,18314,63083,20088,13877,33965,31004,25721,56725,72,41,113,26805,13264,40069,42635,17504,60139,29599,24582,54181,19215,13258,32473,186975,83,42,125,26922,13423,40345,42982,17638,60620,29967,24804,54771,19187,13342,32529,1769,4201,5970,69249,119141,188390,123883,71856,195739,31077,25766,56843,650,272730.2396,419.5849839,0.7251,33.3037,2020,685.567542,419.584984
North Central,Luwero District,83,59,142,30912,26298,57210,36602,24039,60641,20920,19069,39989,18300,17698,35998,37,43,80,28534,27751,56285,32307,21454,53761,16620,16056,32676,19507,17729,37236,180038,38,43,81,28661,24573,53234,32249,21673,53922,16662,16064,32726,19601,17827,37428,1347,2602,3949,80180,97211,177391,106817,87163,193980,18383,17757,36140,2216,546765.7355,246.7354402,0.8271,0,2020,329.278132,246.7354402
South Central,Lwengo District,60,47,107,11757,8815,20572,15692,8036,23728,6291,5503,11794,6176,6169,12345,39,32,71,10610,8321,18931,11117,6585,17702,5263,4962,10225,5960,5188,11148,58077,39,33,72,10569,8309,18878,11045,6554,17599,5256,4948,10204,5928,5178,11106,207,622,829,25022,32837,57859,39976,28570,68546,6236,6216,12452,988,298580.4256,302.2069085,0.4165,31.3999,2020,194.5104066,302.2069085
South Central,Lyantonde District,1,3,4,4770,4289,9059,7017,5013,12030,2876,2519,5395,2067,1971,4038,1,2,3,4705,4251,8956,6897,4933,11830,2031,1951,3982,2843,2495,5338,30109,1,1,2,4355,3980,8335,6448,4603,11051,1849,1814,3663,2639,2292,4931,100,249,349,12690,15292,27982,16731,13795,30526,2068,1974,4042,887,115648.0618,130.3811294,0.2241,31.2168,2020,260.3502344,130.3811294
